id,title,company,location,salary,type,tags,description,published,updated_at
job_001,インフラエンジニア,株式会社プライムテック,東京都新宿区,350〜500万円,正社員,"営業,SaaS,法人営業,未経験歓迎",コンテンツ戦略の立案から制作・分析まで一貫して担当します。,TRUE,2026-03-14
job_002,インフラエンジニア,合同会社フューチャーリンク,東京都新宿区,400〜550万円,正社員,"Vue.js,Laravel,MySQL,AWS",クライアントの課題解決に向けた提案・実装を行います。,TRUE,2026-04-08
job_003,Webマーケター,株式会社エボルブ,東京都品川区,500〜700万円,正社員,"データ分析,SQL,BIツール,Tableau",組織の採用戦略立案から選考実務まで幅広く担当します。,TRUE,2026-03-13
job_004,広報・PR担当,株式会社ネクストステージ,福岡県福岡市,800〜1200万円,正社員,"データ分析,SQL,BIツール,Tableau",クライアントの課題解決に向けた提案・実装を行います。,TRUE,2026-04-06
job_005,法人営業,有限会社デジタルワークス,東京都中央区（フルリモート可）,600〜900万円,正社員,"Ruby,Rails,PostgreSQL",インフラの設計・構築・運用を担当。モダンな技術スタックを使用しています。,TRUE,2026-03-07
job_006,SNSマーケター,株式会社ネクストステージ,東京都渋谷区,500〜750万円,正社員,"AWS,Terraform,Docker,インフラ",新規顧客の開拓から既存顧客のフォローまで、幅広い営業活動を担当します。,TRUE,2026-03-06
job_007,インサイドセールス,株式会社イノベーション,大阪府大阪市,500〜700万円,契約社員,"Python,機械学習,TensorFlow,データ分析",新規Webサービスの開発・運用をお任せします。チームでのアジャイル開発環境です。,TRUE,2026-03-08
job_008,コンテンツマーケター,株式会社プライムテック,東京都千代田区,300〜400万円,業務委託,"Java,Spring,マイクロサービス",インフラの設計・構築・運用を担当。モダンな技術スタックを使用しています。,TRUE,2026-04-10
job_009,事業開発（BizDev）,合同会社フューチャーリンク,愛知県名古屋市,350〜500万円,業務委託,"Go,Kubernetes,クラウド",データドリブンなマーケティング施策の立案・実行をお任せします。,TRUE,2026-04-07
job_010,プロダクトマネージャー,合同会社クリエイティブハブ,神奈川県横浜市,300〜400万円,正社員,"Excel,PowerPoint,事務,未経験歓迎",自社プロダクトの機能開発を担当。裁量が大きく成長できる環境です。,TRUE,2026-03-05
job_011,プロダクトマネージャー,株式会社フォワード,福岡県福岡市,300〜400万円,正社員,"SNS運用,Instagram,コンテンツ制作",データドリブンなマーケティング施策の立案・実行をお任せします。,TRUE,2026-04-04
job_012,フルスタックエンジニア,合同会社クリエイティブラボ,東京都品川区,500〜700万円,契約社員,"PM,アジャイル,スクラム,PMP",組織の採用戦略立案から選考実務まで幅広く担当します。,TRUE,2026-03-09
job_013,プロダクトマネージャー,株式会社エボルブ,大阪府大阪市,500〜750万円,業務委託,"Figma,UIデザイン,プロトタイプ",クライアントの課題解決に向けた提案・実装を行います。,TRUE,2026-03-05
job_014,プロジェクトマネージャー,株式会社テックスタート,東京都新宿区,400〜600万円,正社員,"Swift,iOS,Xcode,モバイル",組織の採用戦略立案から選考実務まで幅広く担当します。,TRUE,2026-03-07
job_015,コピーライター,株式会社グロースパートナーズ,神奈川県横浜市,400〜600万円,業務委託,"SNS運用,Instagram,コンテンツ制作",新規顧客の開拓から既存顧客のフォローまで、幅広い営業活動を担当します。,TRUE,2026-04-04
job_016,Webデザイナー,株式会社イノベーション,東京都中央区（フルリモート可）,500〜750万円,業務委託,"Java,Spring,マイクロサービス",インフラの設計・構築・運用を担当。モダンな技術スタックを使用しています。,TRUE,2026-03-13
job_017,UIUXデザイナー,株式会社ネクストステージ,神奈川県横浜市,600〜900万円,正社員,"Swift,iOS,Xcode,モバイル",新規Webサービスの開発・運用をお任せします。チームでのアジャイル開発環境です。,TRUE,2026-04-03
job_018,プロダクトマネージャー,合同会社クリエイティブラボ,東京都新宿区,800〜1200万円,正社員,"Google Analytics,SEO,SEM,マーケティング",自社プロダクトの機能開発を担当。裁量が大きく成長できる環境です。,TRUE,2026-03-13
job_019,Webマーケター,株式会社スマートビジョン,福岡県福岡市,600〜900万円,正社員,"Figma,UIデザイン,プロトタイプ",モバイルアプリの開発・改善をメインに担当します。,TRUE,2026-03-05
